Rk,Season,Team,Comp,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
113,2019-2020,Wolves,eng Premier League,38,15,14,9,59,1.55,3420,97,7,51,40,11,48.3,13,34.2,45,4,4,0,54.1,51,16.1,15.4,37.5,30,-5.1,-6,-3.5,0.11,457,0.1,0.32,142,31.1,17.4,13
114,2019-2020,Burnley,eng Premier League,38,15,9,14,54,1.42,3420,74,10,43,50,-7,41.9,15,39.5,38,3,3,0,47.4,45.3,-2.4,-0.6,32.4,28.5,-6.4,-7.3,-2.4,0.12,384,0.1,0.31,124,32.3,16.4,18
115,2019-2020,Leicester City,eng Premier League,38,18,8,12,62,1.63,3420,112,5,67,41,26,57.1,13,34.2,60,5,7,2,62.2,56.7,16.7,19,44.9,35.3,2.8,3.3,3.1,0.11,533,0.11,0.33,183,34.3,17.4,20
116,2019-2020,Newcastle Utd,eng Premier League,38,11,11,16,44,1.16,3420,118,13,38,58,-20,39,11,28.9,38,0,1,1,35.5,34.8,-30.1,-29.3,26.9,19.1,2.5,3.2,2.1,0.09,398,0.1,0.29,132,33.2,19.1,14
117,2019-2020,Manchester City,eng Premier League,38,26,3,9,81,2.13,3420,120,2,102,35,67,66.2,17,44.7,94,6,11,5,92,83.6,55.7,48.9,68.4,62.7,8,10.4,0.6,0.12,735,0.13,0.38,250,34,16.4,27
118,2019-2020,Chelsea,eng Premier League,38,20,6,12,66,1.74,3420,117,4,69,54,15,60.4,9,23.7,62,7,7,0,69.2,64.4,30.6,27.4,46.7,42.3,-0.2,-2.4,-0.7,0.11,618,0.1,0.3,210,34,16.6,29
119,2019-2020,Brighton,eng Premier League,38,9,14,15,41,1.08,3420,128,15,39,54,-15,52.2,9,23.7,34,1,2,1,45.4,43.8,-9.5,-9.5,31.6,27.3,-10.4,-9.8,-7.6,0.1,460,0.07,0.24,139,30.2,17.6,11
120,2019-2020,Everton,eng Premier League,38,13,10,15,49,1.29,3420,120,12,44,56,-12,49,9,23.7,41,1,1,0,50.8,50,2.5,4.8,38.1,31.5,-8.8,-9,-6.1,0.11,468,0.09,0.26,159,34,16.4,20
121,2018-2019,Arsenal,eng Premier League,38,21,7,10,70,1.84,3420,113,5,73,51,22,58.1,8,21.1,65,4,5,1,60.1,56,5.8,7.2,46.7,43.9,8.9,9,5.3,0.12,462,0.14,0.41,159,34.4,16.7,11
122,2018-2019,Manchester Utd,eng Premier League,38,19,9,10,66,1.74,3420,112,6,65,54,11,54.7,7,18.4,56,9,12,3,61.4,52,10.8,6.1,39.6,38.3,3.6,4,0.4,0.1,514,0.11,0.27,210,40.9,18.7,27
